The document id, The normalized weight of the word in the document
436.html, 0.019
437.html, 0.017
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
019.html, 0.068
027.html, 0.036
028.html, 0.108
108.html, 0.699
115.html, 0.282
122.html, 0.329
144.html, 0.390
156.html, 0.057
170.html, 0.713
272.html, 0.135
289.html, 0.032
385.html, 0.057
386.html, 0.102
387.html, 2.395
394.html, 0.142
460.html, 3.869
289.html, 0.069
335.html, 0.195
339.html, 0.038
385.html, 0.854
386.html, 0.437
387.html, 3.422
395.html, 0.181
395.html, 0.634
396.html, 1.170
459.html, 1.517
460.html, 0.967
461.html, 2.639
462.html, 0.856
464.html, 0.291
479.html, 0.406
492.html, 0.547
498.html, 2.101
459.html, 0.539
461.html, 0.497
462.html, 0.304
484.html, 0.527
498.html, 0.480
043.html, 0.100
384.html, 0.581
008.html, 2.226
304.html, 0.247
115.html, 4.227
019.html, 0.102
043.html, 0.040
137.html, 0.137
365.html, 0.046
384.html, 0.232
352.html, 0.339
027.html, 0.200
133.html, 0.564
277.html, 0.134
284.html, 0.156
346.html, 0.029
351.html, 0.025
363.html, 0.035
364.html, 0.024
099.html, 0.762
181.html, 0.087
289.html, 0.097
292.html, 0.161
303.html, 0.105
235.html, 0.369
339.html, 0.088
351.html, 0.066
007.html, 0.022
016.html, 0.057
022.html, 0.017
046.html, 0.073
047.html, 0.033
059.html, 0.170
083.html, 0.630
149.html, 0.192
180.html, 0.163
197.html, 0.027
219.html, 0.078
229.html, 0.064
232.html, 0.038
234.html, 0.051
235.html, 0.019
236.html, 0.027
242.html, 0.070
244.html, 0.038
255.html, 0.082
258.html, 0.036
268.html, 0.057
276.html, 0.021
277.html, 0.056
278.html, 0.030
279.html, 0.021
280.html, 0.029
281.html, 0.058
282.html, 0.043
283.html, 0.060
284.html, 0.022
285.html, 0.053
286.html, 0.042
287.html, 0.065
298.html, 0.007
299.html, 0.015
303.html, 0.018
306.html, 0.042
307.html, 0.009
309.html, 0.018
323.html, 0.016
325.html, 0.032
326.html, 0.018
328.html, 0.019
330.html, 0.035
331.html, 0.023
332.html, 0.035
333.html, 0.008
334.html, 0.022
344.html, 0.004
348.html, 0.004
349.html, 0.009
361.html, 0.004
381.html, 0.044
390.html, 0.012
391.html, 0.023
392.html, 0.044
446.html, 0.029
007.html, 0.155
124.html, 0.561
179.html, 0.184
428.html, 0.610
083.html, 0.756
149.html, 0.576
154.html, 0.089
180.html, 0.490
190.html, 0.588
200.html, 0.756
210.html, 0.588
219.html, 0.234
222.html, 0.062
236.html, 0.080
277.html, 0.056
279.html, 0.062
289.html, 0.025
298.html, 0.021
330.html, 0.105
334.html, 0.065
351.html, 0.010
361.html, 0.013
389.html, 0.048
181.html, 0.437
240.html, 0.699
076.html, 0.333
382.html, 0.227
383.html, 0.193
382.html, 2.045
043.html, 0.201
433.html, 0.031
434.html, 0.036
433.html, 0.031
435.html, 0.037
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
434.html, 0.036
436.html, 0.047
433.html, 0.020
434.html, 0.024
435.html, 0.024
436.html, 0.093
004.html, 0.472
007.html, 0.239
011.html, 0.246
029.html, 0.169
037.html, 0.184
070.html, 0.526
101.html, 0.411
218.html, 0.490
228.html, 0.605
234.html, 0.056
274.html, 0.143
303.html, 0.040
393.html, 0.064
003.html, 2.496
007.html, 0.287
011.html, 0.246
029.html, 0.169
037.html, 0.184
038.html, 0.222
046.html, 0.320
101.html, 1.129
150.html, 0.130
208.html, 0.253
338.html, 0.017
363.html, 0.021
377.html, 0.019
279.html, 0.146
348.html, 0.064
351.html, 0.049
380.html, 0.184
010.html, 0.122
019.html, 0.018
174.html, 0.108
222.html, 0.085
283.html, 0.041
289.html, 0.017
294.html, 0.127
339.html, 0.009
340.html, 0.018
345.html, 0.019
348.html, 0.009
351.html, 0.007
353.html, 0.011
355.html, 0.026
359.html, 0.026
361.html, 0.009
362.html, 0.011
363.html, 0.010
364.html, 0.041
368.html, 0.010
369.html, 0.009
376.html, 0.009
377.html, 0.009
379.html, 0.215
380.html, 0.316
381.html, 0.022
383.html, 0.124
386.html, 0.055
222.html, 1.184
222.html, 1.184
340.html, 0.259
331.html, 0.214
346.html, 0.076
358.html, 0.086
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
433.html, 0.025
434.html, 0.044
435.html, 0.029
436.html, 0.019
437.html, 0.035
433.html, 0.031
437.html, 0.043
433.html, 0.020
434.html, 0.024
435.html, 0.024
434.html, 0.036
437.html, 0.043
433.html, 0.037
434.html, 0.015
435.html, 0.015
436.html, 0.037
437.html, 0.035
452.html, 4.532
487.html, 1.822
489.html, 3.645
434.html, 0.073
478.html, 1.534
484.html, 1.317
490.html, 8.773
493.html, 11.432
478.html, 2.045
483.html, 6.449
484.html, 1.756
370.html, 0.224
462.html, 0.380
464.html, 1.164
465.html, 2.874
473.html, 11.055
368.html, 0.279
346.html, 0.228
347.html, 0.276
433.html, 0.020
434.html, 0.024
435.html, 0.024
462.html, 1.522
492.html, 0.547
498.html, 0.600
434.html, 0.036
437.html, 0.043
345.html, 0.130
349.html, 0.242
435.html, 0.073
434.html, 0.036
437.html, 0.043
433.html, 0.015
434.html, 0.036
436.html, 0.023
437.html, 0.043
435.html, 0.073
433.html, 0.061
286.html, 1.184
434.html, 0.073
099.html, 3.811
002.html, 0.023
007.html, 0.020
008.html, 0.287
011.html, 0.052
026.html, 0.053
027.html, 0.017
037.html, 0.077
086.html, 0.110
091.html, 0.079
101.html, 0.043
